CID,survey,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
1330031,des:E,0.10563,1.1661793707068706e-11,6.925076035414916e-11,0.0,0.0,1.7910608355621797e-11
1257695,des:E,0.18383,1.352674669765493e-07,2.2103722239274496e-07,4.824579863457935e-12,1.6594585855222386e-11,2.6667319581306037e-10
1273127,des:E,0.18937,3.367332798887126e-07,9.948871895728736e-07,5.811651937037456e-13,2.2119913153180591e-13,3.266591493898162e-10
1295844,des:E,0.19209,2.777316630483419e-11,4.2831795626593666e-10,9.777989692001557e-10,8.395603524517224e-10,3.583361699414042e-10
1550021,des:E,0.20587,2.5386652277814387e-10,8.095266429297633e-10,3.2659733908702367e-13,1.877978789994749e-13,5.413391222329746e-10
1327978,des:E,0.20699,1.0630173510893374e-09,9.218206760212325e-09,1.794830589106584e-12,3.3779670129168e-12,5.578660810249329e-10
1313230,des:E,0.21792,1.019877255563059e-09,6.770528482195676e-09,1.8314926955468457e-07,1.9795018802370908e-07,7.32197354793794e-10
1919017,des:E,0.21849,4.692515000259332e-09,2.5387897973207527e-07,9.544227222805176e-11,1.1762477620560584e-10,7.419380280982513e-10
1682020,des:E,0.21924,9.07975671614594e-09,3.729544538171401e-08,0.0003383962099409938,0.00021017967617110374,7.548527655138147e-10
1867019,des:E,0.22101,2.263084412475841e-08,4.789152203768214e-08,6.716568773427913e-11,1.2237584889211316e-10,7.857733597655116e-10
1331123,des:E,0.22157,1.8092862438824372e-09,3.730584159500149e-08,1.7516955854315617e-10,1.6084279035801742e-10,7.956853904023919e-10
1929063,des:E,0.22211,4.983580208073996e-10,4.7844077453394065e-09,4.270260189816101e-09,4.753158763717173e-09,8.053022571538356e-10
1249137,des:E,0.22305,8.52852919595145e-08,4.695627529528957e-06,3.7156728248530486e-10,2.07311530657717e-10,8.221805308006311e-10
1641279,des:E,0.22398,1.236603736476957e-07,6.055160293450033e-07,1.0653932223161164e-08,4.272924908934868e-09,8.390515106179535e-10
