CID,sample,HOST_RA,HOST_DEC,zHD,HOST_LOGMASS,MU,MUERR,PROBIA,clipped,cluster_targeted
SN2017cze,CNIa02,167.445083,-13.380739,0.016089042180282842,11.0,34.417147936406145,0.2796274003038199,1.0,False,False
SN2017daf,CNIa02,218.719583,40.748019,0.01951038575710551,11.0,34.747057572997576,0.2681120380021359,1.0,False,False
SN2017dei,CNIa02,312.453542,-25.700711,0.01896566507011266,11.0,34.82110559058254,0.26939547120052443,1.0,False,False
SN2017dit,CNIa02,231.9955,42.846861,0.01888819638073347,11.0,34.78574224533013,0.2684748196984015,1.0,False,False
SN2017dps,CNIa02,204.166833,-33.967025,0.013530522615967655,11.0,33.69934999640227,0.29214343822836214,1.0,False,False
SN2017ebm,CNIa02,200.829583,-19.621408,0.017802150737046052,11.0,35.25579264509852,0.29398664158476423,1.0,False,False
SN2017egb,CNIa02,242.164208,12.011169,0.01643944963772448,11.0,34.45146179133513,0.27682614204997685,1.0,False,False
SN2017ejw,CNIa02,18.142667,0.291981,0.017920394109184112,11.0,34.644591428002016,0.2689135378003305,1.0,False,False
SN2017ekr,CNIa02,345.634125,32.586994,0.018770430384462466,11.0,34.77707169361668,0.26955885752188924,1.0,False,False
SN2017erv,CNIa02,289.69626,-84.69723,0.017130175546575588,11.0,34.580779097900255,0.27716765717582836,1.0,False,False
SN2017evn,CNIa02,176.846958,23.364881,0.018044775407831448,11.0,34.64539873932282,0.2718597016540375,1.0,False,False
SN2017ezd,CNIa02,299.161083,-38.607722,0.017531861564524576,11.0,34.57226450805433,0.271763436901117,1.0,False,False
SN2017ffv,CNIa02,209.340583,-34.773461,0.014825290993665918,11.0,33.936459338683385,0.2815615351460153,1.0,False,False
SN2017gbb,CNIa02,88.270042,-17.867639,0.01067424708419118,11.0,34.922486757650205,0.3211329248655872,1.0,True,False
SN2017gjn,CNIa02,40.951708,32.526028,0.014398337464344824,11.0,33.989517247006034,0.2858266548976717,1.0,False,False
SN2017glq,CNIa02,32.116667,6.387944,0.010828075418370497,11.0,33.236022684267375,0.3204307923108332,1.0,False,False
SN2017grw,CNIa02,239.37375,15.872761,0.017557542667691273,11.0,34.25656101665118,0.27257078197805124,1.0,False,False
SN2017guh,CNIa02,75.80475,-22.8331,0.015472371305834454,11.0,34.03652419750222,0.2829463016966439,1.0,False,False
SN2017haf,CNIa02,359.090917,32.456689,0.015012831561644235,11.0,34.31453284807246,0.2815272406224778,1.0,False,False
SN2017hgz,CNIa02,327.083667,-34.95295,0.015360236715168396,11.0,33.972787823163856,0.2814572353384205,1.0,False,False
SN2017hjw,CNIa02,77.183292,70.475633,0.016051088971092975,11.0,34.51286142410179,0.27822783035266646,1.0,False,False
SN2017hjy,CNIa02,39.010667,43.472086,0.01702394812575503,11.0,34.2443290242657,0.2718764754028967,1.0,False,False
SN2017hoq,CNIa02,79.834542,-17.611589,0.02349469883575228,11.0,35.085849314114164,0.2596247015788661,1.0,False,False
SN2017iji,CNIa02,183.112542,29.14935,0.014385103392223542,11.0,33.84211391864623,0.2876236603374717,1.0,False,False
SN2017isj,CNIa02,167.685667,4.847531,0.020575435809591758,11.0,34.5132123596565,0.2618632832471442,1.0,False,False
SN2017iyb,CNIa02,92.236708,-27.795828,0.010447625556626594,11.0,33.65555268286059,0.31960490515587886,1.0,False,False
SN2017iyw,CNIa02,123.377625,71.4292,0.017538133419875646,11.0,34.54217130471523,0.27109374217534093,1.0,False,False
SN2017izu,CNIa02,209.609417,-34.516089,0.01750470245192659,11.0,33.69253958619036,0.27313647767968824,1.0,False,False
SN2017jav,CNIa02,105.73125,62.7725,0.015300067013421348,11.0,34.371954756485984,0.2819850134265454,1.0,False,False
SN2017jdx,CNIa02,11.984125,22.373961,0.0183176078282119,11.0,34.96142822002142,0.2698644547570079,1.0,False,False
SN2017kdz,CNIa02,213.963375,-48.1340556,0.015292305215616864,11.0,34.8799230687823,0.29294637418205666,1.0,False,False
SN2017yv,CNIa02,155.918333,-35.825211,0.016666482110129,11.0,34.50019417716385,0.2785254108758631,1.0,False,False
SN2018apo,CNIa02,191.272083,-44.006417,0.01720280625212256,11.0,34.074337174378606,0.2727590790862254,1.0,False,False
SN2018aqi,CNIa02,162.105667,-25.15995,0.013693846053141723,11.0,34.21273223850064,0.2905682244557846,1.0,False,False
SN2018ast,CNIa02,175.283167,24.819611,0.012990685771829602,11.0,34.38280472729548,0.3049925167504666,1.0,False,False
SN2018aye,CNIa02,269.418167,50.038811,0.02202264756217498,11.0,34.97564103365638,0.260223398203573,1.0,False,False
SN2018big,CNIa02,261.413138,59.446778,0.017979605652375108,11.0,34.7796862848145,0.270588468510566,1.0,False,False
SN2018cqj,CNIa02,145.089417,-6.988822,0.01764211839983476,11.0,34.46324885369529,0.2781042097854885,1.0,False,False
SN2018cuh,CNIa02,218.5761667,-37.4790944,0.01483102426377858,11.0,34.07625795773961,0.283820354124583,1.0,False,False
SN2018enc,CNIa02,229.869292,-9.880564,0.024501028079066067,11.0,35.079937503557716,0.2586854688496942,1.0,False,False
