CID,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
q102,0.4334851710712231,1.84848254427795e-08,3.191477477577971e-07,0.0001158741972548,8.096928936917263e-05,4.1059327392151915e-08
q112,0.635247516353769,2.0449062650497325e-06,2.692072194699185e-06,5.992562737549712e-06,5.229064893007932e-06,1.1490567900491481e-07
q114,0.6851906671418928,8.681375761005803e-07,7.216851716243578e-06,3.2084426405924967e-05,5.86693086845437e-05,1.4157555321218026e-07
q125,0.3475510501498322,6.84226031472018e-07,1.6902115359896743e-06,2.2548853446750943e-08,3.3158591426161954e-08,2.0159213896834445e-08
r185,0.1777472901435295,1.6980283303799524e-09,5.972219777599569e-09,7.655094109165917e-10,4.770439172800379e-10,1.5938941643382034e-09
r206,0.6082997539622976,3.511259442850941e-07,6.273689762762257e-07,2.357004371246839e-06,3.4002396235747702e-06,1.0383922934199821e-07
r311,0.7970841283453916,1.866619205788176e-06,1.2013567533534525e-05,2.2730627251761347e-08,4.063114297304584e-08,1.985494349545609e-07
r317,0.7341569340785563,1.650988766224866e-06,8.398835375737162e-06,2.4145238977120816e-07,3.194425018135269e-07,1.6113754698179765e-07
s340,0.5293587014211465,1.1798026761942447e-05,1.2092732248452002e-05,4.5444828660097255e-08,4.499663001091326e-08,7.766088655414716e-08
s346,0.2686427786647203,1.0168631055963497e-07,3.415326946569337e-07,1.6622047974763947e-08,2.6392383594251067e-08,6.71406852202245e-09
s347,0.3115880212286437,4.942995080967705e-09,1.9162376454613687e-08,1.298986996730857e-08,5.899786841781671e-09,1.3530448394499173e-08
s349,0.2136988338253225,3.067749668074337e-11,4.796752635121359e-10,1.5740837130562163e-09,1.6576678026505736e-09,3.4110555040146212e-09
s377,0.3974998568329322,8.857994520499272e-08,3.318296393275833e-07,8.567996609328655e-05,0.0001978798085464,3.1063813261743725e-08
s379,0.1907268376952167,4.422388520735905e-07,7.97065833280794e-07,1.1660461265357823e-09,6.518322332681095e-10,2.171154523901281e-09
x017,0.421491797726971,9.088151782940564e-07,1.3881065423071374e-06,3.376493509862274e-07,1.7027959854532925e-07,3.7872664132916374e-08
x025,0.3535663767394223,2.635592904534657e-07,2.613750431460696e-06,1.0006088337579293e-06,6.113086959078851e-07,2.1234085482839697e-08
x028,0.5983095165835612,3.071863123212343e-07,1.3427827674201903e-06,2.5582153777068817e-05,3.199746327913182e-05,1.0068546848127977e-07
x033,0.4034985749098787,3.0569444853926674e-08,4.564729408157606e-08,2.1259392830310742e-09,1.9001593697315444e-09,3.2703026508317243e-08
x080,0.3705386984230403,3.795902283688212e-05,5.9470551814301384e-05,9.470206410973394e-08,1.520226587253451e-07,2.4417352054304168e-08
y134,0.3155840395291955,9.7274280452329e-09,3.0244043556192386e-08,1.3615636427281936e-08,1.0002231600953816e-08,1.4350466568341192e-08
y137,0.3725373086861503,4.948001209519208e-07,1.7214661302991927e-06,5.770189977814915e-07,5.158187631756195e-07,2.4806830055587322e-08
y145,0.5503412970173374,5.654365701078893e-05,7.381259621268906e-05,1.146152817644362e-08,1.3642133277042936e-08,8.476721793440613e-08
z180,0.4564469363349168,5.334118941721602e-07,1.1937921464173414e-06,1.944016171160863e-08,1.7520447506148072e-08,4.7121344266141537e-08
z183,0.2856362015520499,5.724145137154514e-07,2.6828350766751684e-06,9.245469392083719e-08,1.309171212716266e-07,8.791965935595947e-09
z185,0.4055162078866587,2.712026340351531e-06,4.687803674513959e-06,1.237409266593562e-07,1.935883407478811e-07,3.32638376099403e-08
z187,0.294622657062044,6.155829875690693e-08,7.122110438648503e-07,6.005367226656044e-08,2.9559732678423266e-08,1.0317622257332896e-08
z200,0.4534602691398615,3.5110863921179024e-08,3.109656647826727e-07,2.1297629581151074e-07,2.485620367902176e-07,4.6309244376960214e-08
z208,0.5283780122927622,2.9346196184835813e-07,7.002300222350372e-06,4.803219860440846e-07,3.670754080317857e-07,7.733635811959058e-08
SN2005fr,0.286619,6.431544147973143e-07,1.5400270239396231e-06,2.6463858701978413e-09,1.8954364894166823e-09,8.952876867281539e-09
SN2005ga,0.173146,1.3823239350996432e-08,4.563011116670565e-08,5.299671344536542e-10,3.23582380262389e-10,1.449755312955436e-09
SN2005go,0.264048,4.043956738071479e-09,9.4123566741985e-09,6.630892180656367e-07,8.295774416389402e-07,6.411719065963611e-09
SN2005ia,0.250368,7.38200614356828e-08,2.337143622086285e-07,2.4745871360110335e-09,2.802681366787579e-09,5.552777347477789e-09
SN2005lg,0.348852,8.891717336185681e-09,2.4557492283359786e-08,1.720102374832729e-09,5.22315612743745e-10,2.0389313204881956e-08
SN2006hc,0.226685,4.880988496096877e-12,9.897748934571276e-10,1.4168745130273354e-09,9.633709703927883e-10,4.211738006109502e-09
SN2006kd,0.135136,1.4371730402044295e-08,7.613296715118656e-08,1.3339034705752474e-11,4.1244058048876805e-11,8.49288540708776e-10
SN2006oj,0.374254,1.6789520156845696e-07,4.407076161601899e-07,2.4750206277646772e-08,3.9132009993818756e-08,2.5143829602019706e-08
SN2007kv,0.266866,3.2177762219303966e-08,5.869594282708383e-08,1.7969997126605487e-09,1.043425811192327e-09,6.596325478309014e-09
SN2007lh,0.196713,7.882442112117199e-08,2.832339466568984e-07,4.2194994680184794e-11,7.187230396897039e-11,2.4673864448054367e-09
SN2007li,0.118589,3.265380949314552e-11,9.825221342311076e-11,7.902727216036707e-10,6.848749677978113e-10,7.161188097770445e-10
