region,ra,dec,radius_deg,n_sn,z_max,process
235,345.761495,0.8491650000000001,9.93923337957349e-17,1,0.325692,True
236,351.37525800000003,0.42310499999999995,5.0887511641221155e-14,1,0.276185,True
237,10.078404,-1.037373,0.0,1,0.26856,True
238,13.509144,1.069021,0.0,1,0.204532,True
239,36.408752,0.7095710000000001,9.93923337957349e-17,1,0.400093,True
240,50.235523,1.058141,0.0,1,0.209304,True
241,46.682472000000004,-0.7540190000000001,6.363664056331519e-15,1,0.213228,True
242,316.234474,0.060992999999999985,1.2424041724466862e-17,1,0.396541,True
243,357.908352,0.279826,0.0,1,0.121642,False
244,37.099971033961914,0.41866650008257755,0.2340032670026271,2,0.816,True
245,358.586197,-0.917617,0.0,1,0.10351,False
246,25.659727,1.030393,0.0,1,0.163565,False
247,8.903192999999998,-0.2327,1.5902642250829268e-15,1,0.198625,False
248,40.286488,0.14444800000000002,2.4848083448933725e-17,1,0.313762,True
249,341.74198,-0.071822,0.0,1,0.201533,True
250,349.481023,1.22284,0.0,1,0.401275,True
251,315.393539,-0.26850699999999994,4.969616689786745e-17,1,0.145815,False
252,357.29456,0.7978750000000001,9.93923337957349e-17,1,0.352358,True
253,34.141296,-0.722368,0.0,1,0.303835,True
254,47.754841,0.356752,0.0,1,0.268214,True
255,346.55429,0.328961,0.0,1,0.331364,True
256,329.938124,1.126947,0.0,1,0.233708,True
257,9.878606999999999,1.024336,1.5900232019667807e-15,1,0.245577,True
258,349.119993,-0.098497,0.0,1,0.275735,True
259,25.756645,-0.9454690000000002,1.987846675914698e-16,1,0.217279,True
260,10.52536234268505,0.3958428761391198,0.1771368837955906,2,0.263567,True
261,28.813671,0.6430999999999999,9.93923337957349e-17,1,0.227856,True
262,311.754547,-0.099328,0.0,1,0.219792,True
263,319.395493,-0.523949,0.0,1,0.208309,True
264,333.911781031864,-17.74363352091919,0.6804273685950994,66,1.1896112825674474,True
265,187.3722249517747,1.854619510774942,0.016301073771624194,2,1.0944145873813222,True
266,218.1197875,33.536125,0.0,1,1.11121050536822,True
267,217.32809999999998,34.64371944444444,2.0933210871447736e-14,1,1.3513475046504384,True
268,218.6229563781028,34.45332225031824,0.004612556220555847,2,1.2322444451875212,True
269,219.53485833333335,34.23835555555556,0.0,1,1.4163218044341508,True
270,356.372625,-36.54604166666667,0.0,1,1.0481829715236208,True
271,338.8540291666667,-25.95266944444445,0.0,1,0.6213380025524686,True
272,63.516167,4.298611,0.0,1,0.477,True
273,51.45450000000001,-19.302917,6.003514024309299e-15,1,0.1094799993216049,False
274,350.6687083333333,-21.455388888888887,3.1805546814635168e-15,1,0.1187832634375607,False
275,193.41649999999998,-18.507266666666663,2.4128537777369476e-14,1,0.1121113517417769,False
276,80.74754166666666,-33.46425555555555,0.0,1,0.1120733238705587,False
277,74.048458,-3.690556,0.0,1,0.8628602004021069,True
278,74.734667,-3.9915,0.0,1,0.5379083714629205,True
279,125.408875,3.419583,0.0,1,0.779589446060688,True
280,163.48425,-3.6527779999999987,7.951386703658792e-16,1,0.356669857238711,True
281,164.062583,-4.255972,0.0,1,0.4417769224156533,True
282,164.3289392725325,-3.40681905912919,0.15998112270909268,2,0.6400198758695219,True
283,205.903833,2.325167,0.0,1,0.4313769956432205,True
284,206.76166968730973,2.1968991958534096,0.23164952240566203,2,0.7416514357424877,True
